search_term,tipo_gasto,grupo,categoria,subcategoria
ZP*WILSON FE53607,Need to check,Need to check,Need to check,Need to check
ZUM ZUM LANCHES DE BAU,Variável,Custo de vida,Alimentação,Restaurante
ZZLINK,Need to check,Need to check,Need to check,Need to check
cpfl,Essencial,Custo de vida,Moradia,Enegia
dae,Essencial,Custo de vida,Moradia,Água (DAE)
claro,Essencial,Custo de vida,Moradia,Internet
crossfit,Essencial,Estilo de vida,Saúde & Bem-estar,Crossfit
jiu jitsu,Essencial,Estilo de vida,Saúde & Bem-estar,Jiu Jitsu
escola - lucas,Essencial,Conhecimento,Estudo,Escola
graduação,Variável,Conhecimento,Estudo,Graduação
limpeza - casa,Variável,Custo de vida,Moradia,Limpeza - Casa
sem parar,Variável,Lazer,Viagem,Pedágio
spotify,Variável,Lazer,Saúde & Bem-estar,Streaming
aporte,Variável,Custo de vida,Investimento,Aporte
tesouro direto,Variável,Investimento,Taxa,Tesouro Direto
Seguro - Carro,Essencial,Custo de vida,Transporte,Seguro - Carro
Crossfit,Essencial,Estilo de vida,Saúde & Bem-estar,Crossfit
Condimínio - apartamento bela américa,Essencial,Custo de vida,Moradia,Condomínio - Bela América
Internet,Essencial,Custo de vida,Moradia,Internet
Fatura Cartão de crédito VISA,N/A,N/A,N/A,N/A
Financiamento apartamento,Essencial,Custo de vida,Patrimônio,Apartamento - Financiamento
Casinha,Essencial,Custo de vida,Moradia,Aluguel
IPTU,Essencial,Custo de vida,Moradia,Impostos
Fatura Nubank,N/A,N/A,N/A,N/A
Conserto Box-Espelho,Variável,Custo de vida,Moradia,Manutenção
CPFL,Essencial,Custo de vida,Moradia,Enegia
Eletricista,Variável,Custo de vida,Moradia,Manutenção
